                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7122,                 9.4484,                 3.7148,                 4.2241,                 0.0055,                   0.22,                0.00467,                0.00156,                0.00172,                0.06889,                0.00093,                0.00023,                 3.1799,                  5.172,                 3.7525,                 4.1586,                0.00014,                0.00014,                0.00014
                      2,                 3.5817,                 7.9258,                  3.728,                 4.2113,                0.00422,                0.16889,                0.00357,                0.00109,                0.00178,                0.07111,                0.00097,                0.00022,                 3.1799,                 5.1576,                 3.7414,                 4.1561,             0.00029851,             0.00029851,             0.00029851
                      3,                 3.6593,                  4.082,                 3.2835,                  4.092,                0.00544,                0.21778,                0.00456,                0.00153,                0.00211,                0.08444,                0.00133,                 0.0004,                 3.1782,                 5.0731,                 3.6731,                 4.1456,             0.00045545,             0.00045545,             0.00045545
                      4,                 3.4506,                 3.4157,                 2.9993,                 3.9066,                0.00533,                0.21333,                0.00553,                0.00178,                0.00211,                0.08444,                0.00166,                0.00038,                 3.2055,                  4.704,                 3.5024,                 4.1207,             0.00061079,             0.00061079,             0.00061079
                      5,                 3.1716,                 3.1295,                  2.802,                 3.6577,                0.01006,                0.40222,                0.00859,                0.00314,                0.00906,                0.36222,                0.00752,                0.00219,                 3.3146,                  4.322,                 3.5111,                 4.1181,             0.00076456,             0.00076456,             0.00076456
                      6,                 3.0356,                 3.0041,                 2.6984,                 3.4203,                0.02594,                0.08667,                0.01043,                0.00338,                0.00106,                0.04222,                0.00055,                0.00013,                 3.3125,                 4.3399,                 4.1022,                 3.6274,             0.00091674,             0.00091674,             0.00091674
                      7,                 2.8455,                 2.9086,                 2.6214,                 3.2584,                0.00567,                0.03333,                0.00288,                0.00095,                0.00339,                0.12889,                0.00193,                0.00041,                 3.4103,                  4.159,                    inf,                 3.9841,              0.0010673,              0.0010673,              0.0010673
                      8,                 2.7701,                 2.9371,                  2.557,                 3.1344,                0.00117,                0.04667,                0.00062,                0.00017,                0.00133,                0.05333,                0.00071,                 0.0002,                 4.1769,                 85.839,                 6.3838,                 6.2473,              0.0012163,              0.0012163,              0.0012163
                      9,                 2.6494,                 2.8627,                 2.4652,                 3.0495,                0.04348,                0.01333,                 0.0224,                0.00525,                      0,                      0,                      0,                      0,                 3.3838,                 53.488,                  6.732,                 4.5614,              0.0013638,              0.0013638,              0.0013638
                     10,                  2.534,                 2.8059,                 2.3603,                  2.945,                0.00059,                0.00222,                0.00015,                  3e-05,                0.00059,                0.00222,                0.00021,                  5e-05,                 4.7423,                 106.28,                    inf,                 8.1452,              0.0015096,              0.0015096,              0.0015096
                     11,                 2.4864,                 2.8314,                 2.2741,                 2.8672,                0.01149,                0.07111,                0.00651,                0.00208,                0.00108,                0.00667,                0.00055,                  9e-05,                 3.8403,                 22.398,                 6.5664,                  4.849,              0.0016539,              0.0016539,              0.0016539
                     12,                 2.4966,                 2.8598,                  2.275,                 2.8134,                0.03341,                   0.04,                0.00632,                0.00192,                0.02757,                0.01556,                 0.0023,                0.00048,                 3.6755,                 25.046,                 3.8687,                 4.3661,              0.0017965,              0.0017965,              0.0017965
                     13,                 2.3487,                 2.7387,                 2.1668,                 2.7085,                0.07084,                0.11556,                0.03146,                0.01115,                0.08723,                0.07111,                0.02643,                0.00761,                 3.0342,                 5.2824,                 5.6568,                 3.8433,              0.0018812,              0.0018812,              0.0018812
                     14,                 2.2871,                 2.6689,                 2.1025,                 2.6273,                0.06152,                   0.16,                0.03217,                0.00973,                0.07814,                0.08222,                0.02557,                0.00555,                 3.1502,                 29.401,                 10.876,                 4.1409,              0.0018812,              0.0018812,              0.0018812
